Amount of Vertices: 13
x: -3.0000, y: 12.0000, z: 0.0000, r: 1.0000, g: 0.0000, b: 0.0000 
x: -2.5000, y: 7.0000, z: 0.0000, r: 1.0000, g: 0.0000, b: 0.0000 
x: -2.0000, y: 3.0000, z: 0.0000, r: 1.0000, g: 0.0000, b: 0.0000 
x: -1.5000, y: 0.0000, z: 0.0000, r: 1.0000, g: 0.0000, b: 0.0000 
x: -1.0000, y: -2.0000, z: 0.0000, r: 1.0000, g: 0.0000, b: 0.0000 
x: -0.5000, y: -3.0000, z: 0.0000, r: 1.0000, g: 0.0000, b: 0.0000 
x: 0.0000, y: -3.0000, z: 0.0000, r: 0.0000, g: 1.0000, b: 0.0000 
x: 0.5000, y: -2.0000, z: 0.0000, r: 0.0000, g: 1.0000, b: 0.0000 
x: 1.0000, y: 0.0000, z: 0.0000, r: 0.0000, g: 1.0000, b: 0.0000 
x: 1.5000, y: 3.0000, z: 0.0000, r: 0.0000, g: 1.0000, b: 0.0000 
x: 2.0000, y: 7.0000, z: 0.0000, r: 0.0000, g: 1.0000, b: 0.0000 
x: 2.5000, y: 12.0000, z: 0.0000, r: 0.0000, g: 1.0000, b: 0.0000 
x: 3.0000, y: 18.0000, z: 0.0000, r: 0.0000, g: 1.0000, b: 0.0000 
