Amount of Vertices: 726
x: -5.0000, y: -5.0000, z: 20.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -5.0000, z: 11.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -4.0000, z: 21.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -4.0000, z: 21.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -4.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -5.0000, z: 11.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -4.0000, z: 21.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -4.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -3.0000, z: 22.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -3.0000, z: 22.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -3.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -4.0000, z: 12.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -3.0000, z: 22.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -3.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -2.0000, z: 23.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -2.0000, z: 23.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -2.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -3.0000, z: 13.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -5.0000, y: -2.0000, z: 23.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
x: -4.0000, y: -2.0000, z: 14.0000, r: 0.5000, g: 1.0000, b: 0.5000, u: 0.0000, v: 0.0000 
